KID,LIV
Exph5,Heatr5a
Ppm1e,Gps2
Vps41,Cda
Dbp,Fam73b
Fastkd1,H2-Q6
Nek4,Dbf4
Rnf167,9030612E09Rik
Arhgap17,Tmem242
C330021F23Rik,Gramd4
Slc43a3,Mul1
Otop3,Lrp11
Ache,Mtmr7
Sash1,Cutc
Rtl1,Col27a1
Wapal,Mrpl24
Gtl3,Slc1a2
Sdhaf1,1600012H06Rik
Unc5c,Aspa
Cited2,Ptprf
Slc7a8,Cenpb
Dusp7,Slc35c1
Myof,Pml
Ceacam20,Hs1bp3
A530016L24Rik,Rab20
Krt80,Ftsj1
Ndufaf1,Bcar3
Hdac1,Arl3
Dctn5,Apex1
2700049A03Rik,Bzw2
1810011O10Rik,Arl6ip1
Mkl2,Mtcp1
Tomm40l,Zdhhc16
Igsf8,Rad21
Hsd17b14,Lmf1
Prdm1,Stx7
Hmgb2,Tec
Hspa12a,Ppp1r3c
Tmem184a,St3gal5
Slc33a1,Fam193a
Olfr920,Dlgap2
Fgfrl1,Ccdc90b
Hspb1,Dnajc14
Pik3cb,Lrrk2
Abcd2,Dck
Akap11,Ssfa2
Nav2,Inpp5e
Chmp5,Morf4l2
43165,Ccbl1
Adhfe1,1810019J16Rik
6720456H20Rik,Cxxc5
Ppm1h,Vps51
2410002O22Rik,Tlr8
Cadm1,Tmem216
Fech,C77080
Afmid,Tmem181a
Dpagt1,Npas2
Bmp2,A230046K03Rik
Etfb,Lepre1
Clrn3,Tctn2
Calr3,Marcksl1
Dap3,Cox5a
Stt3b,Malt1
Wee1,Slco2b1
Ano8,Gm10768
Ube3c,Gpr180
Mrpl51,Mospd3
4931414P19Rik,Csrp3
Samd8,Myef2
8430410K20Rik,Pdhb
Tgif1,Zfp512
Endod1,Hspbp1
Tfap2a,Nfic
Arntl,Sema5a
Adamts16,Wnt5b
Arl2bp,Ofcc1
Fam98a,Phf5a
Kdelr1,Exph5
Myh10,Olfr798
P4ha1,Dexi
Rps25,Cd52
Irf6,Hbs1l
Spen,Vps41
Pigo,Cad
Rnf213,Dbp
Tob2,Setd1b
Ncoa4,Nek4
Dnajc7,Rnf167
Zfp449,C330021F23Rik
Atad2,Bai3
Fam179b,Sash1
Myom2,Fbxl15
Apln,Nacc1
Mfap3,Trp53
Tmem92,Zbtb7a
Rnpep,Sdhaf1
2510009E07Rik,Nhej1
Mst1,Cited2
Eri2,Slc7a8
Tuba1b,Dusp7
Wdr1,Myof
BC005624,Ndufaf1
Ints2,Nhsl1
Zfand5,Dctn5
Cdk17,1810011O10Rik
Ttyh3,Mkl2
Eri1,Igsf8
Zfp959,Caskin2
Cstf3,Prss43
Srebf2,Tmem184a
Eci2,Ankrd54
Glb1l3,Slc33a1
Ehd2,Arl10
Atp1b1,Fgfrl1
Eps8,Fam111a
Ssr3,Hspb1
Ndufs7,Pik3cb
Lmo4,Abcd2
Kdelc2,Ppm1d
Ogn,Akap11
Twsg1,Uck2
Ldoc1l,Chmp5
Cdkal1,43165
Prodh,Adhfe1
Nim1,Tube1
Klhl9,6720456H20Rik
Nck2,Cebpb
Usp10,Coro1b
Col4a2,Afmid
Cops2,Foxa2
Dgke,Il2rg
Cyb561d2,Irx3
Ddost,Rpusd2
Avpr2,Calr3
Pdcl,Stt3b
Gfer,Wee1
Spast,4931414P19Rik
Fasn,Fam198a
Kcnj15,8430410K20Rik
Eif4g1,Tgif1
Psmd1,Arntl
Polr1b,Adamts16
Hsd3b3,Arl2bp
Plekha4,Zfp358
Agrp,Tbc1d22b
2700089E24Rik,Fam168a
Mmp15,Myh10
Bloc1s6,Luc7l2
Zfp507,P4ha1
Rpn2,Irf6
Kdm3a,Ggcx
Rpl6,Mblac1
Gm129,Dpm3
Cd34,Stat3
Alyref2,Dnmbp
Gabra3,Pigo
Pinx1,Rnf213
Cript,Tob2
Sh3bp5,Ncoa4
Rbm12b2,Zfp449
Med28,Nup93
Cyld,Uqcr10
Hunk,Mfap3
Eif1,Serpina3k
Olfml2b,Zdhhc21
Hlf,Rnpep
Trrap,Zcchc8
Tubd1,2510009E07Rik
C1qtnf3,Cnppd1
Anxa2,Tuba1b
Txndc9,Adrb3
Inpp5k,Atf6b
Arl5a,Mrgpre
Stk38l,Ints2
Abcc10,Sumo2
Hoxd8,Zfand5
Sdf2l1,Zfand4
Smyd2,Cdk17
Fbxo45,Ttyh3
Zfp462,Cep57l1
Ror1,Cd276
Syap1,Map2k5
Gga2,Srebf2
Marcks,Eci2
Cd79a,Atp1b1
Fam177a,Rpl36al
Atp6ap2,Gsdmd
Map2k7,Ssr3
Det1,Acp2
Sh3tc1,Hapln1
Klf3,Ndufs7
Dgka,Tmbim4
Rbm39,Twsg1
Heg1,Clptm1
Plxdc2,Cdkal1
Slc10a2,Prodh
Snapc3,Mafk
Smek2,Dad1
Mak16,Oxnad1
Tmem140,Snx33
Prpf40a,Med22
Athl1,Ptpra
Glul,Brd9
Rtel1,Col4a2
Crbn,8430419L09Rik
Rab8b,Icmt
Wdr36,Cd300ld
Ralgapa1,Gfer
Pcyox1,Ston1
Rpn1,Fasn
Nfyb,Eif4g1
Emg1,Psmd1
Ralyl,Sf3a2
Col4a1,Tor1b
Rbm43,Polr1b
Rasl11a,Sp1
Naa25,Hsd3b3
Tagln2,2700089E24Rik
Arl4d,Mmp15
Psip1,Bloc1s6
Rasgrp3,Hs6st1
Zfp229,Zfp507
Cbx7,Chd3
Tars,Kdm3a
Rev1,Rpl6
Prss23,Gm129
Plekhf1,Nsun6
Med7,Cd34
Trim2,Alyref2
Abhd4,Fam134b
Ipcef1,Gtpbp3
Sap30,Rdh9
Commd4,Sh3gl1
Grid1,Pinx1
Tmed7,Ppfia1
Itgb6,Nup62
Mmgt2,Ick
Paox,Micu1
Mapkapk2,Sh3bp5
Commd6,Rbm12b2
Tmem67,Med28
Zfp637,Ccdc15
Rnf44,Mblac2
Adrm1,Hunk
Acy3,Hlf
Cys1,Tubd1
Nt5c2,Gm9962
Cacybp,Irf2
Ppig,Eno1
Rock1,Txndc9
Snrpb,Inpp5k
Loxl1,Stk38l
Ebag9,Gpr30
Adipoq,Abcc10
Clcn6,Sdf2l1
Glis2,Smyd2
M6pr,Parva
Ctnnal1,Gga2
Efhd2,Fam177a
Timmdc1,Map2k7
Intu,Det1
Ms4a4c,D2Wsu81e
Rab11fip5,Gm7075
Hip1,Fam155a
Wdr27,Dgka
Lig4,Rbm39
Zfp575,Prelp
Dhps,Fam47e
2610002M06Rik,2510002D24Rik
Rnh1,Slc10a2
Cdc42ep5,Mrp63
Slc28a1,Mtbp
Cnnm3,Prrc2b
Tmem86b,Snapc3
Ttll13,Smek2
Dcaf15,Lzic
Ccdc88c,Upf1
Pnpla2,Tmem140
Ubxn7,Prpf40a
Exoc3,Rnd1
Zfp282,Rnf103
St7,Athl1
Xpnpep3,Cnot6l
Cdc123,Steap3
Aven,Ap2s1
Rfwd2,Glul
Nol8,Hist3h2ba
Ccndbp1,Crbn
Slc35d2,Map4k4
Gng2,Rnf4
Hmga1,H2-Ob
1700052N19Rik,Wdr36
Mapk1,Pxmp4
Srd5a1,Pcyox1
Psmd12,Rpn1
Lpp,Col4a1
Layn,Hist1h4h
Rgnef,Naa25
Sema4d,H2afb1
Dctd,Tnfaip1
Fam189b,Gstt1
Scn7a,Yipf2
Anapc13,Rasgrp3
Ninj1,4930444A02Rik
Rab11a,5730469M10Rik
Lmtk3,Cbx7
Maob,4430402I18Rik
Fbln5,Tars
Tubb5,Scand1
Hist1h2be,Rev1
Cct7,S100a16
Arfip1,1190003J15Rik
Pak1,Plekhf1
Zfp945,Chchd1
Heatr6,Qdpr
Glyat,Fgf12
Nolc1,Trim2
Wdr91,Fktn
Zfp719,Abhd4
Timm23,Pigt
Kcnj16,Rer1
Cdc42ep3,Tmem20
Wasl,Mmgt2
Zfp317,Mapkapk2
Derl3,Commd6
Mb,Tmem67
Sos2,Rdh13
Lrrc33,Zbtb7c
Nfia,Zfp637
Dcdc2a,Rnf44
Rab14,Dak
Adck3,Arhgap10
Araf,Cys1
BC025446,Nt5c2
Tmed2,Cacybp
Aqp11,Tjap1
Echdc2,Snrpb
Dhx15,Rad50
Cul7,Loxl1
Phactr2,Rnps1
AI316807,Clcn6
Vti1b,Gabarap
Glmn,Plekha8
Pkp4,Foxn3
Rab3gap1,Fam126a
Mki67ip,M6pr
Cmtm6,Efhd2
Larp1,Tdo2
Slc36a2,Timmdc1
Klhdc2,Fam83h
Hiat1,Enthd1
Lama5,Cdc42ep5
Tchhl1,B4galnt1
Coq5,Rnf5
Tmco1,Cnnm3
Cog6,Tmem86b
I0C0044D17Rik,Dcaf15
Rhbdd2,S1pr1
Dctn3,Pnpla2
Isoc1,Exoc3
Cyp4b1,Tgoln1
Steap4,Xpnpep3
Top2b,Ccndbp1
Islr,Hmga1
Il13ra1,Sec22c
H2-Q7,Srd5a1
A1cf,Psmd12
Tmem41a,Lpp
Tmod3,Zdhhc23
Stbd1,Ddah1
Cd28,Cyp2c68
Pdp2,Anapc13
Plin4,Qser1
Sel1l3,Ninj1
Fah,Rfxank
Hnrnpa2b1,Maob
Tsta3,Tubb5
Tmem220,Hist1h2be
H2-K1,Rps19bp1
Itpr3,Cct7
Snx24,Dpm2
Pcbp4,Zfp945
Zfp238,Vps33b
Anks4b,Nolc1
Csrp2,Wdr91
Tnk2,Abcb10
1110007C09Rik,Mettl1
Zfp808,Zfp667
Zfp458,Wasl
Utp11l,Actn1
Pdk1,Rgs1
5031425E22Rik,Shkbp1
Kctd20,Npc1l1
Agtpbp1,Kncn
Ctc1,Lyrm4
BC030336,Rab14
Psmd2,Adck3
Trappc12,BC025446
Esco1,Tmed2
Gdpd1,Aqp11
Nr1h2,Sbf2
Mtpap,Rab9
Usp45,Emc4
Atp6v1d,Dcun1d4
A830080D01Rik,AI316807
Mpst,Parp12
Katnb1,Vti1b
Rgs16,Fam46a
Plekhm3,Cmtm6
Opa3,Mug1
Chchd3,Larp1
Asxl3,Flnb
Pdzd11,Hiat1
Aqp3,Mapk1ip1
Herpud1,Fzd7
Vwf,Rrbp1
Ipo11,Otud5
Cct5,Coq5
Ppil6,Rhbdd2
Elmod3,Serpina3f
Mboat1,Isoc1
Sp110,Ccdc109a
Cyp2s1,Cyp4b1
Aldh1a1,Steap4
D6Wsu163e,BC056474
Lin7a,Flcn
Hsd17b11,Il13ra1
Api5,Ufc1
Lrtm2,Gatad2b
Ankrd27,Ctsb
Csnk1a1,Tmem41a
Idh1,Cpn2
Cog7,Bcl2l11
Gadd45b,Foxb2
Kpna1,Tmod3
Vps39,Stbd1
Dedd,Pxdc1
Usp39,Pbrm1
Nqo2,Mllt3
Gldc,Sel1l3
Cgn,Pbx3
Atp2b4,Slc25a23
Ngef,Zbed3
Ibtk,Trmt112
Ggct,D18Ertd653e
Aldh1a3,Zbtb22
Akap2,Msmp
Cachd1,Snx24
Pex11b,Wbscr22
Parp8,Pcbp4
Gm13301,Dyrk2
Hpca,Anks4b
Ssr1,Csrp2
Rab8a,Tnk2
Wdr6,Papss1
Surf1,5031425E22Rik
Evx2,Atf6
Inpp5j,Ift140
Il7r,Agtpbp1
Zfp426,Mgll
Fst,Hsd17b2
Rbm44,Ctc1
Galk1,Gtf3c6
Skida1,Xylt2
Galnt10,Uprt
Uchl3,Psmd2
Slc25a36,Trappc12
Gm10749,Gmeb2
Rhpn1,Gdpd1
Sgms1,Nr1h2
Slc12a6,Olfr1348
Lrrc4,Atp6v1d
Cln5,Mpst
Nccrp1,Rgs16
Sssca1,Nr1i3
Plk4,Opa3
Golph3,Pdzd11
Chid1,Mcts1
Pmepa1,Herpud1
Agtr1a,Prkdc
Slco3a1,Ipo11
Nr1h3,Cct5
Copg2,Elmod3
Serpinb8,Fbxo4
Bmp6,Aldh1a1
Pik3r1,D6Wsu163e
Abca4,Slc30a9
Klf12,Ndfip1
Leprot,Ormdl2
Yipf5,Naa30
Slc16a7,Ube2cbp
5730455P16Rik,Ankrd27
Scaf1,Ruvbl2
E2f6,Kpna1
Lrp2,Kcnma1
Ttll1,Dedd
Dzip3,Usp39
Col18a1,Nqo2
St7l,Gldc
Jam3,Ube4a
Slc4a3,Cgn
4632434I11Rik,Atp2b4
Spred1,Mlxipl
Tbxas1,Ngef
Fv1,Ggct
Uhrf1bp1l,Olfr332
Cdc42se1,Slc6a13
Atp2c1,Ssr1
A730049H05Rik,Gpr89
Psme3,Sgpl1
Klhl24,Rab8a
Tm9sf1,1500032L24Rik
Rab2b,Wdr6
Ccdc150,Fxr1
Fpgs,AY702102
Zdhhc17,0610011F06Rik
Chrna4,Vwa8
Angel1,Zfp426
Atp6ap1,Wfdc11
Lphn1,Galk1
Prkd3,Galnt10
Fads6,BC031353
Gsta3,Nfx1
Kcmf1,Ccdc162
Ubqln4,Gas2l3
Ehd3,Zfp828
Jmjd4,Sgms1
Ap2a1,Maz
Gtf2ird1,Pramef8
Lss,Fads2
Cd38,Bex1
Eif4e3,Maml1
4921524L21Rik,Wwox
Phka2,Chid1
Fam69a,Dync1h1
Ddr2,Agtr1a
Hoxa7,Slco3a1
C2cd2,Nr1h3
Zfp110,Tnfrsf1b
Srsf5,Copg2
Nampt,Prmt6
Dnajc13,Pik3r1
Tmed1,Klf12
Gpbp1l1,Psma4
Zfp874a,Ppfibp2
Slc24a2,Leprot
Lrrc8d,Slc16a7
Fam149b,5730455P16Rik
Fkbp4,E2f6
Rtn4,Ttll1
Mpp7,Wdyhv1
Hvcn1,Tm9sf3
Fgr,Tectb
Gmpr,Col18a1
Sash3,Jam3
Insig1,Tacr3
H6pd,Fv1
Zfp109,Plxnb2
Hectd1,Thoc3
Tceb1,Zfp825
Fbxw5,C2cd2l
Hgf,Smyd1
Myo7b,Thpo
Pi4ka,Cdc42se1
Btg1,Hspb8
Fscn1,Psme3
Boc,Klhl24
Prex2,Scoc
Hmox1,Fpgs
Dcxr,Camkk2
Naif1,Chrna4
Gnb2,Atp6ap1
Rwdd3,Stk16
Ddx10,Prkd3
Rusc2,Olfr692
Neu1,Gsta3
Polr3a,Rps11
Dkk2,Spryd3
Eif5a2,Trim24
Dazap1,Serpina5
Adnp2,Galm
Krt74,Mxd4
Brwd3,Ubqln4
Dr1,Pgap2
Neurl4,Rexo1
Bod1l,Pom121l2
Rbm47,Ehd3
Crtc2,Mfsd4
Pigy,Ccdc53
Pla2g5,Ap2a1
Llgl2,Gtf2ird1
Galnt3,Lss
Dcaf4,Cd38
Vwa1,Phka2
Hmcn2,Fam69a
Sytl2,C2cd2
Cd274,Srsf5
Fmnl2,Rnf39
Slc25a33,Nampt
Cct4,Dnajc13
Strbp,Tmed1
Rnf14,Gpbp1l1
Trappc8,Med8
Socs4,Ankrd34c
Kdelc1,Zfp874a
Rfx3,Lrrc8d
Cdx2,Gtf2h4
Igfbp1,Fam149b
Eml2,Fkbp4
Fbxo3,Fitm2
2010300C02Rik,Rtn4
Fmo1,Mrpl32
Tm7sf3,Mpp7
Arhgap18,Clpp
Lyrm7,Ctsf
Id4,Gmpr
Phf17,Map3k13
Trmt10a,Insig1
Cant1,H6pd
Rundc3a,Zfp109
Egln3,Hectd1
Ccbe1,Eif3f
Oxt,Oas1c
Zfp97,Cc2d1a
Btaf1,Nat10
Ppm1b,Pum2
Akap7,Thrap3
Cpvl,Dll1
Il15,Rffl
Uap1,Pi4ka
Magi2,Btg1
Mri1,Prex2
Pdlim4,Timm9
Engase,Pla2g12b
Zfp846,Slc30a10
1700019G17Rik,Syt3
D19Ertd737e,Eif5a
Slc25a42,Naif1
Fam136a,Whsc2
Efnb1,Gng12
Psmc3,Gnb2
Man1a,Clpb
Atp6v0a2,Ube2f
Akt3,Rwdd3
St8sia6,Rcbtb2
Slc9a3r2,Rusc2
Ezh2,Lsm2
Glrx3,Plbd2
Tmem218,Zbtb37
Thbs4,3110040N11Rik
Srpx,Acot7
Sp3,Dazap1
Zdhhc5,BC029214
Amd1,6430548M08Rik
Patz1,Nsmce2
Oxsr1,Il4i1
Acsm1,Crtc2
Fbxl2,Pigy
Oma1,Phlpp1
Lcmt1,Ppp1r9a
Cdkn1c,Llgl2
Ptpn2,Dcaf4
Osbpl7,Olfr597
Ptger3,Tbc1d20
Pigq,Mrps24
Cyp4f13,Tpm1
Cyp2a5,Fmnl2
Id2,Slco1a4
Dek,Rad23b
2810408A11Rik,Tmx2
Vim,Trappc8
Dgat2,B3galt5
Trim12a,Kdelc1
Gab1,Eml2
Mlst8,9030418K01Rik
Cdc42ep4,Fmo1
Camk2d,Txndc5
Slc22a30,Arhgap18
Ldb1,Lyrm7
Unc119,Phf17
Uhrf2,Orai3
Nfe2l2,Tsen54
Kitl,2310035K24Rik
AK129341,Aasdh
Etfdh,Nsfl1c
Sptlc1,Tnfrsf19
Zbtb20,Rbm8a
Polr3g,Ppm1b
Dcaf6,Cpvl
Zhx3,Agpat5
Ube2v2,Shroom1
Kdm5c,Hax1
Lipa,Psmb2
Cpne3,Rfx4
Ap1s3,Agap2
Rbm28,D19Ertd737e
Ankrd33b,Slc25a42
Fubp1,Efnb1
Dna2,Fam96b
Mfsd3,Pign
Prr15l,Rpl27
Cops7a,Psmc3
Prickle2,Mrgprg
Jagn1,Atp6v0a2
Stard4,Ebp
Gtf2f1,Zfp148
Cd97,Pla2g15
Akip1,4930407I10Rik
Prr5,Ezh2
43167,Tmem218
Gm906,Tmem126a
Bend5,Pop1
Pja1,Ercc5
Nme6,Zdhhc5
Cidec,Amd1
Tmed6,Oxsr1
Zc4h2,Tmem206
Rttn,Cldn25
Gm10567,Fpr-rs4
Acn9,Ndufc1
Bcl2l1,Nfkbib
Tmem33,Oma1
Stk35,Extl1
Cds2,Hsd3b5
Mrpl50,Alox5ap
Ajap1,Lcmt1
Golga4,Suv39h1
Top1,Lilrb4
Lep,Spryd4
Tnfrsf25,Cyp2a5
Slc29a1,Tex261
Slc16a3,Id2
Wdtc1,Vps52
Stx3,Poldip3
Car13,Dgat2
Nkrf,Slc38a4
BC030307,Trim12a
Dgkd,Mlst8
Nat8l,Cdc42bpb
Vac14,Snta1
Ube2w,Xpot
Nop10,Nsdhl
Ube2g2,Gm16493
Rfesd,Camk2d
Tmsb10,Ldb1
Smarcc1,Helz
Amt,1700020N15Rik
Ube2j1,Kitl
Mkks,Atp6v1e1
Myct1,Apoc2
E2f5,Etfdh
Cdc42bpa,Zbtb20
D430042O09Rik,Polr3g
Arsj,Dcaf6
Tarsl2,Rnf157
Gnpda1,Zhx3
Dse,Lipa
Ctdspl,Bloc1s3
Fam82a1,Zfp59
Bcl6b,Ankrd33b
Crls1,Hist1h3f
Tnnc1,B3gnt3
Ints3,Fubp1
Nfyc,Uox
Eltd1,Capn5
Stra13,Bcl10
Srsf2,Cops7a
Disp1,Enpp5
Capn12,Jagn1
Ascc3,Myl6
Smap1,Stard4
Narf,Gtf2f1
Fam63b,Akip1
Sec14l1,Ttll3
Qprt,Tmcc1
Slc2a12,Dpp7
Kcng1,Mapre3
D14Abb1e,43167
Rtp3,Ahdc1
Tead1,C2
Nnat,Ect2
Entpd1,Nufip1
Pank1,Zc4h2
AI314180,1810030O07Rik
Nvl,Pyroxd2
Agpat1,Tmem33
Helq,Fbxo6
Txk,Stk35
Unc50,Top1
Caprin1,Psmd4
Dtnbp1,Tmem22
Ttc33,Zfp444
Mbl1,Slc29a1
Ids,Wdtc1
Zfp239,Fam53b
Tbl2,Eral1
Arl15,Shf
Calb1,BC030307
Zfp180,Dgkd
Sec63,Vac14
Dhrs3,Ube2g2
Spnb3,Rfesd
Glod4,Tmsb10
Acot12,Gpx4
ORF61,Sh3bgrl3
Grk5,Prkci
Ppp4r2,Cars2
Rnpepl1,Eepd1
Rnpc3,Plrg1
Foxk2,Amt
Syvn1,Sparc
Tmigd1,1810009A15Rik
Baz1b,Mkks
Mettl22,D430042O09Rik
Mterfd1,Tom1l2
Osr1,Arhgap1
Ddo,Gnpda1
Wdr67,Ddx60
Isoc2b,Phospho1
Eid1,Crls1
Osgin1,Tnnc1
Sult1c2,Pigb
Gpr112,Mrpl34
Slc17a4,Ints3
BC051142,Eltd1
Cit,Pon2
Ggnbp1,Pvrl1
Hcls1,Stra13
Tpmt,Srsf2
Dyx1c1,Narf
Mfsd1,Pim2
Osbpl3,Sec14l1
Lpcat1,Qprt
Hsf2,D14Abb1e
Tcf25,Rtp3
Oaz3,Gm1614
Orc4,Nudt16l1
Ptpn4,Arid1a
Slc37a3,Dctpp1
Ppm1l,Pank1
Adcyap1r1,Agpat1
Wnk4,Gnat1
Slc7a10,Unc50
Dgat1,Ptbp2
Zbtb40,F5
Nbeal1,Caprin1
Rpp30,Dtnbp1
2410131K14Rik,Jazf1
Pck1,Mbl1
Ppil3,Atxn7l1
Acsl4,Fam53a
Ttc3,Tbl2
Fam198b,Arl15
Hnrnpr,Dhrs3
Lix1l,Spnb3
Paip2,Pros1
Ptplb,Pde4a
Ccdc148,Mcm8
Mpp2,Acot12
Ubiad1,Ppp1cc
Ebf1,Tma7
Pcx,Grk5
Prm1,Spint3
Hp,Fmo5
Rnf181,Cmas
Kras,Tmem189
Acaa1a,Get4
Slc6a17,Baz1b
Zfp322a,Ddo
Gpm6b,Pithd1
Tmem57,Sfxn1
Pdlim5,Deptor
Etl4,Magix
Larp7,Lect2
Eif4ebp1,Zfp341
Mapt,Nomo1
Gpt2,Eid1
Zfyve16,Osgin1
Tmem39a,Sult1c2
Slc18a1,Slc17a4
Anxa1,Gins3
Wwc1,Ptk7
Acp6,Mfsd1
Chic2,Ncam2
Zmat3,Lpcat1
Msn,Prr16
BC028528,Apoa4
Coq10a,Gale
Bcl7c,Xrcc1
Actb,Tcf25
Bola1,Slc31a2
Fastkd2,Gabbr2
Wdr61,Ermap
Mll1,Nfe2l1
Zfp592,Ppm1l
Grpr,Ptdss1
Scrn2,Sod1
Ahnak,Mdh2
Egfl7,Wdr89
Hpcal4,Cpn1
Ccnjl,Spata13
Spg20,Dnttip1
B3galt2,Creg1
Rnf169,Cdh1
Phospho2,Pck1
B230307C23Rik,Rasl11b
Kcnd3,Cox19
Aqp2,Pou2f1
Rp2h,Acsl4
Ano5,Cybasc3
Zfp367,Cblb
Chrac1,Hnrnpr
Mcrs1,Ptplb
Tk1,Mrpl1
Nudt4,Fam176b
Chn2,Dus2l
Ube2e1,Rpl18
Tgfb1,Pomt2
Stam,Pcca
Slc15a4,Ndufa5
Svop,Gde1
Svil,Rnf181
Pik3c2g,Kras
Sigmar1,Tmem180
Actn4,Acaa1a
Pld1,1110003E01Rik
Fam108b,Tmem57
4933434E20Rik,Etl4
Fbxw9,Larp7
Bckdk,Dnmt3a
Cdpf1,Pex1
Cdo1,Gpt2
Inca1,A130010J15Rik
Mknk2,Map3k1
Inpp5b,Serpine2
Msl3,Acp6
Txnrd1,Chic2
Psmc6,Zfp688
Pcmt1,Rnf185
2310067B10Rik,Uck1
Crot,Msn
Tex10,Coq10a
Tmpo,Bcl7c
Hspd1,Znrf4
Mgl2,Actb
Clip2,Tle1
Ran,Ghdc
Ogfrl1,Gusb
Erbb4,Bola1
Klhdc5,Mll1
Mad2l2,Adh6-ps1
Erap1,Zfp592
Alg12,Surf6
Acan,Ccnjl
Tmem174,Zmym5
Mrfap1,Spg20
Mpzl1,Rnf169
Tbpl1,B230307C23Rik
Ripply3,Pklr
Gnao1,Ttc18
Siae,Tenm3
Rell1,Gfod2
Cacnb4,Rnase4
Ranbp17,Exosc10
Tpst1,Zfp367
Magt1,Chrac1
Rnf130,Tk1
Gcnt1,Chn2
Cep250,Aaas
Dmtf1,Pycrl
Flrt1,3110001D03Rik
Nrip3,Mettl10
Vasp,Ryr2
Pipox,Adamts9
Prx,Stam
Snap29,Svil
Trmt5,Pik3c2g
Cygb,Sigmar1
Ppp5c,Actn4
Prr14,Wrnip1
0610010K14Rik,Pld1
AU019823,Ift81
AW554918,Nfkb2
Rab11fip2,Fam108b
Angptl2,Fbxw9
Mboat2,43353
Abce1,Cdpf1
B3galnt1,Cdo1
Cep19,Map2k3
Plau,Inca1
Sulf1,Mknk2
Micall1,Inppl1
Psma1,Inpp5b
Tmc7,Wdr26
Serbp1,Msl3
Ptprj,Thoc6
Cul9,Rabac1
Tmem106b,Txnrd1
Runx1t1,Psmc6
Psmb6,Crot
Als2cr12,Rab9b
Kcnj8,Gas7
Lurap1l,4921524J17Rik
Cops3,Tmpo
Slc13a2,Hspd1
Hephl1,Ahr
Atp1b3,Ran
Slc44a2,Wdr38
Mrpl2,Erbb4
Blvrb,Rims3
Usp7,Crebbp
Slc19a3,Mon1b
Eif4g3,Eif2c4
9430016H08Rik,Eif4e2
Tspan4,Tecpr2
Ppa2,Hsbp1
Zbtb24,Mad2l2
Pdia5,Gm20731
Wdr44,Alg12
Slc48a1,Gm10800
Slc16a5,Kif13a
Rnase9,Hnrnpc
Nfat5,Prcc
2310016G11Rik,Tbl1xr1
