KID,LIV
Wdr31,Mpzl1
Gm13139,Siae
Ankrd13c,Rell1
Gm10684,Tpst1
1110031I02Rik,Magt1
1700010B08Rik,Slc41a2
Grpel2,Dmtf1
Rab28,Camsap3
Osbp2,Cflar
Pdcd6ip,Brd7
Spg11,Rxrg
Med6,Isg20
BC003266,Trmt5
Ptgr1,Nsun3
Mbd1,Eif3j1
Tubgcp4,Slc39a2
Zmynd8,Prr14
Mfsd9,0610010K14Rik
Ptk2,AW554918
Slc2a10,Lipt1
Tdrd7,Lrit1
Epm2aip1,Adat2
Ranbp6,Abce1
Tmem175,Cep19
Slc6a15,Plau
Ogfod1,Gm20449
Saal1,Psma1
Kirrel3,Gm10801
Cbx4,Tmc7
Cep70,Ptprj
Car12,Cul9
Ntrk3,Tmem106b
Rapgef3,Pea15a
Tln2,Tpi1
Ap2a2,Ptpla
Zfp644,Tgtp1
Tgds,Ripk2
Adal,Lmln
Ube4b,Gstt3
Alas2,Slc13a2
Ninl,Dennd3
Adam10,Ripply1
Dhrs11,Atp1b3
Ccar1,Slc44a2
Tbce,Tmem37
Atm,Micall2
Tjp2,Blvrb
Srek1,Setd8
Exog,Gm13152
Tra2a,1190002N15Rik
Dnaja2,Tspan4
Mrap,Cd9
Hmgb3,Ppip5k1
Ywhab,Gpaa1
Nr1d2,Pdia5
Igfbp5,Slc16a5
Aass,Stard3nl
Tbp,Tubg2
Glipr1,Bcl9
Capza2,Tas2r136
Cxadr,Gm13139
Fuk,Mrpl23
Mustn1,Acot3
Bola3,Zdhhc2
Sh2d3c,BC021614
Eed,Grpel2
Reck,Rab28
Stap1,Pdcd6ip
Mks1,Nabp2
Abhd5,Med6
Pus7,Cables1
Cirbp,Crem
Nop2,Ptgr1
Hes6,Mob3a
Tdrkh,Tubgcp4
Slc2a1,Glrx5
Gfm1,Zmynd8
Chmp4c,Hbp1
Klhl13,Gmeb1
1700022I11Rik,Zfp111
Slc6a11,Rmnd1
C1galt1c1,BC002230
Igsf21,Mfsd9
Mical3,Avl9
Nagk,Rgl3
Fa2h,2210404J11Rik
Mxd3,Epm2aip1
Adamtsl2,Ranbp6
Rab11fip3,1700029H14Rik
Homer3,Tmem175
Timm44,Ppap2c
Sult1d1,Ctf1
Myo1e,Ogfod1
Zfp653,Sec14l4
Erbb3,Ring1
Clcn7,Kirrel3
Serpini1,Slc17a3
Tomm20,Rfc3
Zfp74,Tmco3
Acr,Atad5
Fam38b,R3hdm2
Megf9,Impact
Rasd1,Ntrk3
Bgn,Tln2
Atp8a2,Ap2a2
Gltscr2,Vmn1r58
Lonrf3,Ube4b
Sema5b,Depdc5
Nr2e1,Rnf145
Stk39,Alas2
Zdhhc13,Cd163
Strn3,Slc22a23
Fahd1,Dhrs11
Fxyd1,Tbce
Ccne2,Tjp2
Lhpp,Utp14a
Angpt2,Saa4
Snx8,Ubap2l
Dnajc5,Spata26
Pdgfra,Rit1
Furin,Tmem132d
Cerk,Hist1h2al
Col6a6,Tra2a
Rab30,Dnaja2
Tmem141,Emc7
Gpr125,Mrap
Ypel5,Hmgb3
Zhx2,Ugp2
Cd209a,Blcap
Kdm1b,Nedd4l
Apobec1,Ywhab
Mtch1,Cdh2
Gstt2,Nr1d2
1110037F02Rik,Paqr9
Ppp2r1a,Igfbp5
C330018D20Rik,Ndufa6
Dennd1a,Cxadr
Slc23a1,Fuk
Impa1,Mustn1
Frs2,Ncoa2
Purb,Bola3
S100g,Sh2d3c
Cmklr1,Reck
Car3,Inhbc
Otor,Pah
Vps35,Mks1
Tcf19,Slc25a3
Anxa6,Mtnr1a
Tcp11l2,Abhd5
Vwce,Pus7
Abcb8,Ppapdc2
Gpt,Cirbp
Hbegf,Nop2
Myo19,Hes6
Prorsd1,Tdrkh
Gm10787,Slc2a1
Gtpbp8,Lyrm1
Casp6,Pam16
Armc9,Gfm1
Npl,Gypc
Ptpn12,Abcd1
Ezh1,Wdr5b
Lynx1,Ccdc104
Phf3,Ube2l6
Atad1,Vhl
Syngr2,Zc3hav1
Reep5,2810405K02Rik
Stard13,Mre11a
Cuedc2,2810021J22Rik
Zdhhc15,Wbp11
Als2,Gne
Chm,Ssh2
Birc3,Clybl
Abca13,Med11
Ckb,Spata2l
Cybrd1,Sult1d1
Pdk2,Myo1e
Tmem167,Fam136b-ps
Ush1c,Erbb3
Ttc4,Cisd1
Mypn,Slc31a1
Mdn1,Elmo1
Fbn1,Tomm20
B630005N14Rik,Acpp
Fancb,Ndufb11
Ston2,Cage1
Ednra,Zfp74
Stc1,Fam36a
Hn1l,Ctps
Mob1b,Megf9
Nmral1,Gltscr2
Gabpb2,Lonrf3
Pgls,Sema5b
Mrpl36,Prmt5
Tbx10,Mtmr10
Gpbp1,Zdhhc14
Krr1,Gtf2b
Whsc1,Zdhhc13
Nae1,Ccdc28a
Dync1i2,Fxyd1
Nmrk1,Ccne2
Wnk2,Lhpp
Pafah1b3,Snx8
Fgfr1op2,Dnajc5
Cradd,Tmem98
B230120H23Rik,Pard3b
Ak1,Furin
Pxdn,Cnot3
Stx2,Stk11
Zfp523,Ppp1r7
2610507B11Rik,Med13l
Slc7a7,Gpr125
Trpv4,Ypel5
Hoxb4,Zhx2
Gc,Kdm1b
4732465J04Rik,Gchfr
Nid1,Apobec1
Rnf144b,Mtch1
Ctso,Dnajc30
Nploc4,Gstt2
Gadd45a,N4bp2l2
2610301G19Rik,Ppp2r1a
Zfp672,Mea1
Amfr,Zfp37
Dom3z,C330018D20Rik
Lrrc56,Dennd1a
Gipc1,Ndufaf2
Fcgrt,6430550D23Rik
Riok2,Gstm5
Kif5b,Ptk6
Ripk1,Clcf1
Edn1,Polr2b
Folr1,Car3
Ocln,Abcb4
Gfpt1,Reep4
Dedd2,Snrpg
Cdc14b,Tacc1
Ier3,Mcm2
Tex13a,Tcp11l2
Thumpd2,Gtf3c1
Slc35f3,Lrrc28
Cml2,Thyn1
Sugt1,Gan
Thbs2,Chfr
Dkc1,Myo19
Josd2,Supt7l
Adra1d,Pdgfc
Lin37,Gtpbp8
Tcn2,Casp6
Ephb1,Prepl
Atp5g2,Oasl1
Gm10608,Armc9
Prss8,Tspan7
Cndp1,Ptpn12
1200011I18Rik,Ezh1
Fam46b,Eif4a1
Ide,Palmd
Tcf7,Dmp1
Txndc11,Syngr2
Ttc39a,Reep5
Irak1bp1,Ugcg
Zranb2,Stard13
Slc22a8,Cuedc2
Naga,Als2
Fbxw17,U2af1
Akap10,Foxred1
Jsrp1,Rpp21
Cntd1,Tsc22d2
Napepld,Ptbp1
Srsf6,Pigs
Tfeb,Fbn1
Ern2,Mapk1ip1l
Dtymk,Hist1h2ak
Bbox1,Pfkfb1
Hhat,Ston2
Mrps30,Znrd1as
Ifitm1,Hn1l
Ppfibp1,Mob1b
Cdc5l,Dcun1d3
A230083G16Rik,Nmral1
Gm128,Pgls
5830473C10Rik,Mrpl36
Mapk12,Gimap5
Tfcp2,Rpl11
Fuca2,Acbd5
Mutyh,Aasdhppt
Kif12,Dync1i2
Xrn2,Nmrk1
Prss35,Cradd
Cyb5d2,B230120H23Rik
Hsp90ab1,Pxdn
Cyp2d26,Mtmr12
Ell3,Adamdec1
Cfd,Taco1
Rnf11,Stx2
Stag2,Ndufa2
Srm,Commd10
Bco2,2610507B11Rik
Khdrbs1,Slc7a7
Zfp60,4732465J04Rik
Ttf2,Nid1
Gucy1a3,Rnf144b
Rnf6,Gadd45a
1700056E22Rik,2610301G19Rik
Cp,Amfr
Tpd52,Lrrc56
Micalcl,Rfc4
Nxf1,Atp5s
Mmp11,Hist1h4j
Tbrg1,Usp18
Trim65,Riok2
Gatsl2,Rab5b
Ppbp,Dhfr
Clpx,Ocln
Zfp52,Dedd2
Acaca,Ybx1
Med14,Cdc14b
Yaf2,Thumpd2
Slc22a5,4933417A18Rik
Nup37,Lrrc20
Slain2,Evi5
Tceal1,Tnpo1
Ripk4,Jph1
Fbxo11,Eri3
Zfp809,Ift122
Trnau1ap,B4galt1
Amotl2,Mpi
Ntsr1,Josd2
Rhod,Arhgef18
Slc17a1,Xrcc4
Nat9,Tcn2
AB124611,Mpzl2
Gorasp2,Scyl3
Rangap1,Atp5g2
Prpf38a,43352
Ttr,Isy1
Wdr45,1200011I18Rik
Clec2h,Tmem194
Ptpn11,Lmo7
Rhob,Ide
Utp6,Prkd1
Taf9b,Adra1b
Cstf2,Elp2
Ccnj,Abca2
Igf1r,Tmem101
Slc25a11,Zranb2
Trim7,Srms
Cirh1a,Akap10
Ehd1,Gstm1
Zfp266,Slc17a2
Vps26a,Napepld
Slc35d1,Egln2
Zfp704,Tfeb
Trim32,Sox9
Tap1,Odf3b
Mrps15,Dtymk
Strap,Lhfpl2
Gnaq,Gatad1
Vangl2,Bbox1
Phlpp2,Adam11
Slc25a16,Baat
Slc9a8,Ly6a
Epb4.1,Cldn2
Ddit4l,Hmg20a
Sc4mol,Slc39a11
Snap23,Gle1
Vcl,Hhat
Ubxn2b,Ifitm1
Zfp760,Ppfibp1
Edem1,Bri3
Ncor2,5830473C10Rik
Cmtm7,Dhx37
Ablim1,Zfx
Elmod2,Fuca2
Trpm4,Tmem109
Lyrm2,Papd4
Acbd3,Xrn2
Fam83b,Cyb5d2
Coro2a,Bfar
Gpr39,Hsp90ab1
Rgs22,Fntb
2010015L04Rik,Cuta
Syt14,Srm
Sorbs2,Bco2
Zbtb38,Khdrbs1
Csgalnact1,Ttf2
Acap3,Rnf6
Mgmt,Ddx1
Osta,Mb21d2
Ints10,1700056E22Rik
Qrsl1,Cp
Scap,Ipo5
Lap3,Micalcl
Setbp1,Hddc3
Becn1,Cntn2
Gdi2,Met
Taf6l,Gabra1
Gm10032,Tbrg1
Fgd2,Amdhd1
Scpep1,Krt19
Sc5d,Trim65
Slc50a1,Gatsl2
Fam102b,Pbld2
Dpy19l4,Clpx
Mtx2,Acaca
Paip1,Dpm1
Ppwd1,Med14
Ralgps2,Cln6
Tmem9b,Yaf2
Rhobtb3,Gtf3a
Cryz,Klhdc7b
Ncbp1,Nup37
Mrps27,Tceal1
Atg2b,Ripk4
Dpp4,Zfyve27
Rbck1,Zfp809
Ppt2,Mlkl
1110018J18Rik,Trnau1ap
Tbca,Cebpe
Gm9949,Mecom
Hist1h2bc,Cyp2c67
Pon3,Rhod
1810063B05Rik,Slc17a1
Fam168b,Nek9
Elovl5,Tipin
Lman2l,Smad9
Fam175b,Rangap1
5031439G07Rik,Ttr
Strc,Wdr45
Alas1,Clec2h
Bok,Gstk1
Plekhg1,Wash
Dusp1,Ptpn11
Ehd4,Actr1b
Eif5b,Ccnj
Cpne9,Mcee
Ivns1abp,Ndufs3
Kdm6b,Slc25a11
Nptx1,Mrpl35
Angptl7,Lrrc61
Gnai1,Catsper2
Fpgt,Marveld3
Zfp36,Trim7
Map4k2,Rnf34
Plod3,Ehd1
Dennd1c,Ece1
Zfp407,Clec4a3
Ccdc75,Slc35d1
Pltp,Zfp704
Fam188a,Fbxo8
Mapkap1,Tap1
Zkscan1,Strap
Herc3,Psme2b-ps
Wbscr17,Epb4.1
A2ld1,Ddit4l
Ddah2,Slc39a8
Gm17655,Tra2b
Fbxw15,Mta1
G6pc,Sc4mol
Tfdp1,Snap23
Gdf15,Wdr46
Pfkp,Lrp5
Avpi1,Vcl
Trnt1,Ubxn2b
Pak1ip1,Zfp760
Mcm7,Edem1
Cldn18,Ncor2
Mrps9,Capns1
Per3,Ptpn1
Agxt2l1,Sidt1
Snx16,Ablim1
Nudt5,Elac1
Fam76a,Hnrnpa0
Sorl1,Zfp772
Osmr,Lyrm2
P2ry1,Dusp11
Vps4b,Gpr39
Dtx3l,Rgs22
Bmf,Trappc3
Morn4,Sorbs2
Trak2,Ccdc43
Atg4a,Gpr97
Baiap2,Ints10
Mettl7b,Scap
Cacnb1,Lap3
Schip1,Chsy3
Serpinb6b,Dpp10
Sfrp1,Taf6l
Ssh3,Gm10032
Vsig4,Cd33
Pnrc2,Scpep1
Sft2d1,Sc5d
Hexdc,Slc50a1
Armc8,Mtx2
Kif2a,Ppwd1
Bach1,Csl
BC004004,Ncbp1
Slc2a9,Mrps27
Lpin1,Fnbp1
Pnkd,Ppif
Ndufa7,Cdc34-ps
Ccdc91,1110018J18Rik
Ccdc127,Hist1h2bc
Sptlc3,Pon3
Dleu7,Trex2
Aak1,Ddhd2
Prosapip1,Sh3pxd2a
Slc38a6,1810063B05Rik
Hnf1a,Fam168b
Hyou1,Elovl5
Zkscan14,Lman2l
Pmp22,Fam175b
Appl1,Gm4980
AW209491,5031439G07Rik
Bank1,Elovl3
Il2ra,Adarb1
Tob1,Alas1
Gemin7,Gltpd2
Vbp1,Bok
Ube2z,Dusp1
Kctd10,Ehd4
Zfp942,Ercc2
1190005F20Rik,Ivns1abp
Cxcl16,Synj2
Rarb,Gna11
Tnfrsf10b,Casp2
Coro7,Slc35e2
Tnfaip2,Bckdha
Slc13a3,Acad8
Fitm1,Fgb
2010002N04Rik,Plod3
Mzt2,Dennd1c
Arglu1,Polr3b
Blmh,Gm11168
Thoc2,Ccdc75
Fem1c,Fam188a
Cd53,Zkscan1
Ggta1,Herc3
Cnot6,Olfr1261
Rbpms2,Plekha6
Tlcd1,A2ld1
Irf3,Nt5c
Tnc,Gm17655
Iffo2,Plcb3
Asph,Cdk8
Ankrd23,Fmo3
Eif1a,Avpi1
Csnk1g2,Lin9
Dixdc1,Xrcc6bp1
Mef2c,Mcm7
Nat2,Pex14
Raver2,Mrps9
Hif1a,Zfp30
Dgkg,Per3
Igf1,Fam76a
Des,Sdc1
Pola1,Vps11
Mgat5,Rpl10
Dnaja4,Cyp21a1
Creb3l1,Wdr47
Sv2a,D330012F22Rik
Ckap5,Mbnl1
Smarca2,Gm17535
Hbb-b1,P2ry1
Col1a1,Lrrc57
Caprin2,N6amt2
Cap2,Vps4b
Pllp,Pygb
Mdm4,Trak2
Ccs,Atg4a
Ralgapb,Baiap2
Clk1,Rbms2
Asb13,Tsx
Slc15a3,Mettl7b
Igsf3,Serpinb6b
Prdm5,Rbpj
Pdia6,Atoh8
1110017D15Rik,Dhrs7
Txndc17,Fn3krp
Ubxn1,Stx4a
Snrk,Pfn4
Lmcd1,Slc35b4
Ralgds,Lyplal1
Comt,Vsig4
Ms4a1,Fbxo44
Zfp442,Pnrc2
Mid1ip1,1700020O03Rik
Sarnp,Fam57a
Rhobtb2,Sft2d1
Col8a1,Mfsd2a
Rheb,4632428N05Rik
Hccs,Bach1
Gria1,Ndufa9
Dnajb9,Slc17a8
Clec14a,Zfp275
Gjb2,BC004004
Tfpi,Nrxn3
Rpp14,Nagpa
Nol6,Arpc1a
Veph1,Rps27l
Sdc4,Slc2a9
Fam96a,Lpin1
1110002L01Rik,Pnkd
Cxcl13,Bcap29
Maoa,4933403F05Rik
Dcps,Lrp3
Vimp,Hnf1a
Peo1,Mybbp1a
Zfp27,F11
Plscr4,Hyou1
Dis3,Syne2
Tmem184b,1700010I14Rik
Loh12cr1,Appl1
Cnn3,Terf2ip
Rnf183,Sec22a
Dnajc21,Slc1a4
Fgfr1,Mrps34
Tmem25,Ubl5
Sidt2,1190005F20Rik
Cd37,Skp2
Jak1,Vip
Dagla,Cxcl16
Vmp1,Rarb
Foxc1,Tnfaip2
Nxpe3,Lypla2
Dnajb2,Rps16
Ndufaf4,Hspa9
Uggt1,Timm10
Renbp,Hipk3
Dnalc1,Pgcp
Fip1l1,Slc13a3
Olfr1033,Ireb2
Acot1,Arl14ep
Pcyt2,Elp6
Zfp799,Ubr5
Strada,Fbxl17
Art4,0610010O12Rik
Oat,2010002N04Rik
Ubqln1,Cul3
Slc29a3,Smad4
Dnajb12,Blmh
9030624J02Rik,Gpsm2
Gys1,Fem1c
Calm1,Snupn
Eml5,Clstn3
Galnt6,Zfp187
Tram1,Sdr9c7
Ewsr1,Tlcd1
Gm5617,Adamts6
Akr1c19,Dhx58
Eif4a2,Iffo2
Copb2,Creb3
Ube2e2,Ifit1
Slc5a12,Ankrd23
Gprc6a,Eif1a
Arf3,Tppp
Nbeal2,Cdkl2
Cdk5rap3,Nat8b
Spg21,Sdhb
Fundc1,1110034G24Rik
H2afz,Chst13
Cnnm2,Nos1ap
Smox,Ptma
Ddhd1,Ifrd1
Dock8,Igf1
Hspbap1,Cyp17a1
Cox16,Wdr66
Ddb2,Ggt6
Chchd4,Abi1
Lace1,Mgat5
Bhlha15,Ndufb4
Rdh14,Dnaja4
Nutf2,Zfp192
Cltb,Tecr
Flt4,Ckap5
Tinag,Ormdl3
Ncoa1,Smarca2
Card6,Hbb-b1
Fam98b,Cyp2g1
Klraq1,Gm9966
Mast4,Tmem66
Zfp81,Ap3m1
0610007P08Rik,Caprin2
Vstm4,Tdp2
Fam114a2,Asap3
Tifab,Cyp2d40
Gdpd4,Ly6e
Smyd5,Fadd
Smtnl2,Grb14
Adi1,Pllp
Rps6ka4,Clk1
Ctsz,Atp4a
Kif1b,Pdpr
Ankrd13b,Asb13
Macf1,Slc15a3
Fmo2,Prdm5
Azin1,Trib3
Stk32b,Txndc17
Ddr1,Ankrd9
Srgn,Ubxn1
Cobll1,Pcgf1
Bckdhb,Snrk
Exoc6,Comt
Rnf152,Zfp442
Sbsn,Mid1ip1
Zfp608,Zfp106
Mthfd1,Sarnp
Extl2,Gm10250
Parn,Pgm5
Ccdc37,Blnk
Hhla1,Tfpi
Nid2,Oit3
Aurkaip1,Cox7a1
Mif4gd,Apoa2
Tcp1,Fam96a
Zbtb4,Cnp
Rtkn,Pgpep1
Tspyl1,Peo1
1700025G04Rik,Loh12cr1
Ppp1r1b,Cnn3
Meis3,BC026585
Sgk1,Ndufs6
Kremen1,Fgfr1
Endou,Tmem25
Ifi203,Sidt2
Il33,Pkp2
Fkbp5,Ikbkg
Gm10030,Flt3l
Igfbp3,Vmp1
Coasy,Abcf2
Usp47,Dnajb2
Ccdc66,Ndufaf4
Zer1,Uggt1
Kcnmb1,Lin7b
Rab18,Tmco4
Tmem221,Olfr1033
Zfp386,Acot1
Zfp160,Srsf3
Dag1,Pcyt2
Pvalb,Strada
Cdkn2c,Oat
Fdft1,Clta
Vapa,Ubqln1
Sh3gl2,Slc29a3
Tpra1,9030624J02Rik
Hspb6,Gys1
Rragb,Calm1
Vstm2a,Eml5
Sertad2,Tram1
Tnn,Trmt6
Sec24d,Gm5617
Zc3h15,Zbtb7b
Olfr750,Akr1c19
Thra,Eif4a2
Rbm27,Ube2e2
Memo1,Uqcr11
Zdhhc20,Arf3
Vegfa,Ubl4
Fndc3c1,Nbeal2
Tst,Spg21
Slc25a19,Fundc1
Gpx8,Necab1
Arrb1,H2afz
Lypla1,Nudt1
Cep57,Bbs4
Prmt2,Polr3c
Grin3b,Spc24
Mier1,Hist2h2bb
Dll4,Ppp1r15b
Ankle2,Ddhd1
Tbc1d1,Hspbap1
Serpine1,Pef1
Fbxo28,Lace1
Tfb1m,Cyc1
Fgfr2,Rdh14
Slc17a5,Gm4793
Plk5,Nutf2
2310061C15Rik,Fads3
1700003H04Rik,Zdhhc18
Sbf1,Cltb
Zcchc9,Chuk
Epb4.1l5,Cgrrf1
Cbr2,Klraq1
4930452B06Rik,Mast4
Mob1a,Zfp775
Cpt2,Lnpep
Pi4k2b,Dync2h1
Tspan5,2610528J11Rik
Timp3,Fam114a2
Pgs1,Rsu1
D3Ertd751e,Kif1b
Immp1l,Ppp2r5b
Gm16494,Polr2c
Senp8,Fmo2
Zfp125,Azin1
Rnf122,Srgn
Med13,Stim2
Ppargc1b,Ctnnbip1
Akr1c21,Mavs
Slc2a4,Cobll1
Ankrd49,Cdca4
Pcnxl3,Prdx2
Ahcyl2,Rnf152
Foxk1,Ndufv1
4930550C14Rik,Lipe
Vcp,Mthfd1
Mbnl2,Dpys
Tmem177,Vmn2r1
0610009L18Rik,Guk1
6030419C18Rik,Nid2
Foxq1,Ddt
Trappc2l,Mif4gd
Lpar3,Asprv1
1200014J11Rik,Tcp1
Slc25a21,Zbtb4
Mfge8,Rbpms
Itga9,Kremen1
Cplx2,Fkbp5
Fam50a,Lrrc3
Tnfaip8,Scrn3
Per1,Idnk
Immt,Ccdc66
Fbxo36,Mtl5
Wisp3,Slc9a9
Abhd6,Cntrob
Phf1,Dag1
5730559C18Rik,Fdft1
Asl,Myd88
Egln1,Sh3gl2
BC030476,Tpra1
Rrm1,Tlcd2
Dpp3,Prpf31
Ctdsp2,Hspb6
Figf,Itga5
Usp1,Sertad2
Atp6v1b2,Adam9
Tbc1d22a,Sbds
Epha7,Med30
Mlx,Sec24d
Ndrg1,4930455F23Rik
Gp49a,Zfp414
Usp34,Mmrn2
Gpr116,Thra
Plod2,Memo1
BC048355,Rbms1
Mfsd7a,Zdhhc20
Terf2,Vegfa
Slc35e1,Tst
Map3k5,Arrb1
Gabpa,Mecr
Dtwd1,Cep57
Elavl1,Cyp4a14
Khdc3,Slc22a28
Ranbp3l,Mier1
Arrdc1,Zfp71-rs1
Clock,Dll4
BC018242,Abca6
Glo1,Tbc1d1
Nabp1,Dusp16
Bspry,Serpine1
Rprd1a,Tfb1m
Hgsnat,Fgfr2
Stx18,Ift20
2700029M09Rik,Ifitm6
Snx5,2310061C15Rik
Zfyve26,Nudt8
Kif20b,Pptc7
Mx2,Epb4.1l5
Aqr,Btd
Il22ra1,Azi2
Tor1a,Cpt2
P2rx7,Ifih1
Pmf1,Faf2
Sbk1,Pi4k2b
Naa38,Timp3
Ptpn22,Pgs1
4930556J24Rik,Syde2
Mfi2,Snx7
Pfkfb3,Sepw1
Aplnr,Tatdn2
Use1,Med13
Zfp7,Ppargc1b
Ttc37,Tbc1d7
Emb,Csnk2a2
Rpl28,Ankrd49
Psmd5,Tcta
Timd2,Ahcyl2
Ank3,4931406C07Rik
Rbfox1,Epha6
Rtf1,Atf5
Ankrd29,Smcr7
Tpm4,Rogdi
Fam49b,Vcp
Tbc1d17,Mbnl2
Msh6,Tmem177
Hn1,Ocrl
Eml3,Trappc2l
Tor2a,Slc25a47
Npepl1,Cd46
Zmynd10,1200014J11Rik
Traf3,Slc25a21
Rpf1,Adcy9
Nr1h4,Arhgap39
Hoxb3,Anapc11
Ppara,Dusp10
Top1mt,Per1
Sgk2,Plk1s1
Cd164l2,Snrpd3
Ccdc141,Fbxo36
Nif3l1,Pstpip2
Rras,Fzd4
Rab34,Trp53i11
Mtap7,Pik3c3
Fam171b,Abhd6
Pde9a,Phf1
Strn,Ppapdc3
Ncoa5,Asl
Gpr4,Egln1
Ltbp1,Mpnd
Atf7ip,Dpp3
Enpp1,Ctdsp2
Pno1,Figf
Mgat4a,Cdkl3
Fam118a,Atp6v1b2
Ogt,Uros
Prkab1,Ccny
Zswim3,Pvr
Lims1,Mettl20
Gtf2a1,Mlx
Zic5,Ndrg1
Zfp932,Gp49a
Acox2,Mus81
Bcat1,Ppt1
Phf6,Zfp935
Mcc,Exoc8
Cdx4,Gpr116
Thrb,Yif1b
Rnf138,BC048355
Slc10a7,Mfsd7a
Ube2a,Slc35e1
Nme7,Map3k5
Tmed4,Tcf4
Fam20c,Nup85
Rad51c,Gabpa
Dnm1l,Dtwd1
Fam40a,Mlec
Ctbs,8030462N17Rik
Nek5,Ranbp3l
Itgb1,Clock
Casr,Stub1
Coa3,BC018242
4930579K19Rik,Glo1
Ing2,Bcap31
Vps45,Nabp1
Ddx21,Tpp1
Fam49a,Lats1
Rexo4,Rprd1a
Yme1l1,Hgsnat
Nol3,Enpp2
Wdr72,Ankrd46
Fzd3,Stx18
Tnpo3,Ccni
Zfp72,Kcnc3
Nek3,Slc30a1
Leng9,H2-Q10
Baiap2l1,Zfyve26
Adc,Lama3
Slc6a12,Aqr
Ube2q1,S100a10
Cenpa,Tor1a
Gna14,Mrto4
Slc20a2,Pmf1
Il15ra,Sbk1
Aco2,Pbx4
Ccnl1,Gnb2l1
Rabgap1l,Fbxo16
Arrdc4,Pfkfb3
4933426M11Rik,Banf1
Adam22,Ccdc142
Crybg3,Rpl28
Slc26a1,Psmd5
1700017B05Rik,Timd2
Ntrk2,Ints4
Tnks1bp1,Ank3
Tmem127,Tfcp2l1
Scyl1,Qpctl
Frmd4a,Tbc1d17
Scnn1b,Hn1
Mt2,Eml3
F2rl1,Tpo
Twf2,Cpa4
Man2b2,Rpl34
Bbs7,Eln
Armc12,Traf3
Rab3il1,Nr1h4
BC065397,Hoxb3
Brap,Ppara
Tln1,Top1mt
Anapc7,Sgk2
Ank,Cnih4
Abca17,C1qbp
Orc3,Nif3l1
Gls,Rras
Tmem231,Mtap7
Hook3,Pde9a
Alpk1,Ddx39b
Ppap2a,Commd7
Il6st,Ncoa5
Rpain,Ntpcr
Wdr7,Sfxn5
Ar,Ccl9
Pigl,Atf7ip
Spp1,Enpp1
Akr1e1,Pno1
Ube2q2,Fam118a
St3gal3,Gfral
H2afj,Nnmt
Ccdc102a,Fam173a
Scamp2,Lims1
Kcne4,Gatc
Th1l,Gtf2a1
