SDLEAF,SDM,SDVA
GO:0051452,GO:0046677,GO:0009410
GO:0045851,GO:0032465,GO:0046677
GO:0007035,GO:0045948,GO:0016241
GO:0006267,GO:0000289,GO:0006112
GO:0009226,GO:0051302,GO:0005977
GO:0045036,GO:0034067,GO:0045899
GO:0072596,GO:0016973,GO:0045898
GO:0015979,GO:0015979,GO:0001505
GO:0000463,GO:0006112,GO:0015979
GO:0000266,GO:0005977,GO:0072593
GO:0072598,GO:0006744,GO:0071417
GO:0090114,GO:0045899,GO:0009636
GO:0097164,GO:0045898,GO:0008654
GO:0009225,GO:0040011,GO:0009737
GO:0030488,GO:0007052,GO:0034599
GO:0042440,GO:0006406,GO:0048584
GO:0009101,GO:1902850,GO:0019318
GO:0006486,GO:0051028,GO:0046474
GO:0043413,GO:0071427,GO:0009416
GO:0006006,GO:0006506,GO:0042158
GO:0016226,GO:0006505,GO:0014070
GO:0030968,GO:0046785,GO:0006497
GO:0070085,GO:0051650,GO:0006006
GO:0007031,GO:0051648,GO:0071407
GO:0000470,GO:1903509,GO:0009314
GO:0006778,GO:0006664,GO:0042157
GO:0033013,GO:0006903,GO:0033993
GO:0006487,GO:0009247,GO:0006096
GO:0019318,GO:0048199,GO:0046939
GO:0045292,GO:0060627,GO:0006091
GO:0006631,GO:0000266,GO:0051130
GO:0009100,GO:0006661,GO:0005996
GO:0005996,GO:0051049,GO:0006979
GO:0008654,GO:0000463,GO:0044282
GO:0002181,GO:0031334,GO:0017144
GO:0017148,GO:0044089,GO:0001101
GO:0007018,GO:0072666,GO:0090150
GO:0006413,GO:0009416,GO:0006644
GO:0051170,GO:0051170,GO:0007017
GO:0034504,GO:0034504,GO:0046395
GO:0006606,GO:0072665,GO:0016054
GO:1901137,GO:0006606,GO:1901605
GO:0051188,GO:0008654,GO:0000226
GO:0034599,GO:0009312,GO:0072657
GO:0006928,GO:0006623,GO:0048583
GO:0009416,GO:0006896,GO:0055065
GO:0006400,GO:0051301,GO:0009719
GO:0046395,GO:0009314,GO:0070887
GO:0016054,GO:0090148,GO:0006605
GO:0007034,GO:0000910,GO:0019725
GO:0032787,GO:0046474,GO:0008652
GO:0034976,GO:0072507,GO:0071495
GO:0009314,GO:0072503,GO:0005975
GO:0001510,GO:0009636,GO:0072594
GO:0006888,GO:0032879,GO:0033365
GO:0006091,GO:0000226,GO:1901700
GO:0009108,GO:0042147,GO:0009725
GO:0042273,GO:0016482,GO:0032787
GO:0017038,GO:0006403,GO:0090407
GO:1901605,GO:0006091,GO:0042221
GO:0043414,GO:0006875,GO:0019637
GO:1901566,GO:0009108,GO:0009628
GO:0072594,GO:0006367,GO:0010033
GO:0043604,GO:0015931,GO:0044262
GO:0072522,GO:0050658,GO:0070727
GO:0043043,GO:0050657,GO:0051186
GO:0008652,GO:0006405,GO:0034613
GO:0006414,GO:0051236,GO:0006520
GO:0006412,GO:0071166,GO:0071310
GO:0006520,GO:0071426,GO:0006886
GO:0019752,GO:0055065,GO:0045184
GO:0033365,GO:0051169,GO:0055086
GO:0006164,GO:0006913,GO:0042886
GO:0051186,GO:0072330,GO:0015031
GO:0046390,GO:0007017,GO:0015833
GO:0006732,GO:0031503,GO:0071705
GO:0090407,GO:0032787,GO:0006753
GO:0046394,GO:0051168,GO:0046907
GO:0016053,GO:0051130,GO:0051649
GO:0007017,GO:0006073,GO:0008104
GO:0006082,GO:0046916,GO:0044281
GO:0043436,GO:0044042,GO:0035556
GO:0055086,GO:0051188,GO:0009056
GO:0044282,GO:0046467,GO:0051641
GO:0009165,GO:0006644,GO:0019752
GO:0006518,GO:0070085,GO:0071702
GO:0048193,GO:0006643,GO:1901135
GO:1901135,GO:0042158,GO:0023052
GO:0006605,GO:0006497,GO:0007165
GO:0043603,GO:0046488,GO:0006082
GO:0044283,GO:0006732,GO:0043436
GO:0044281,GO:0046395,GO:1901575
GO:0017144,GO:0016054,GO:0044248
GO:1901293,GO:0009101,GO:0007154
GO:0051128,GO:0006486,GO:1901566
GO:0007005,GO:0043413,GO:0051716
GO:0072521,GO:0006611,GO:0033036
GO:0019637,GO:0006631,GO:0050794
GO:0006753,GO:0030003,GO:0006793
GO:0009117,GO:0006873,GO:0050789
GO:0034660,GO:0042157,GO:0006796
GO:0016072,GO:0016197,GO:0050896
GO:0006364,GO:0009100,GO:0008152
GO:0006790,GO:0007010,GO:0009987
GO:0034470,GO:0019725,GO:1901576
GO:0055114,GO:0055082,GO:0065007
GO:0071705,GO:0097435,GO:0044237
GO:0042886,GO:0006650,GO:0008150
GO:0046907,GO:0072594,GO:1901564
GO:0015031,GO:0072657,GO:0071704
GO:0015833,GO:1901605,GO:0044238
GO:0051649,GO:0019752,GO:0032502
GO:0045184,GO:1901137,GO:0048856
GO:0006886,GO:0051186,GO:0009605
GO:0042254,GO:0005975,GO:0043207
GO:0071702,GO:0019637,GO:0051707
GO:0008104,GO:0090407,GO:0009607
GO:0022613,GO:0006082,GO:0098542
GO:0042221,GO:0043436,GO:0051704
GO:0006396,GO:0044282,GO:0042742
GO:0044271,GO:0033365,GO:0009617
GO:0034613,GO:0098771,GO:0006869
GO:0009058,GO:0055080,GO:0018205
GO:0044249,GO:0050801,GO:0010876
GO:1901576,GO:0017038,GO:0006413
GO:0070727,GO:0019693,GO:0009651
GO:0051641,GO:0051726,GO:0042446
GO:0010467,GO:0044262,
GO:0034641,GO:0006886,
GO:0006810,GO:0009117,
GO:0051234,GO:0006753,
GO:1901564,GO:0042886,
GO:0009987,GO:0071705,
GO:0034645,GO:0017144,
GO:0008152,GO:0044281,
GO:0044237,GO:1901361,
GO:1901360,GO:0055086,
GO:0071704,GO:0010629,
GO:0009059,GO:0009259,
GO:0006807,GO:0015031,
GO:0044238,GO:0015833,
GO:0046483,GO:0006520,
GO:0006725,GO:0009892,
GO:0008150,GO:0010605,
GO:0019538,GO:0045184,
GO:0006468,GO:1901135,
GO:0022414,GO:0046907,
GO:0000003,GO:0070727,
GO:0009605,GO:0048285,
GO:0032502,GO:0034613,
GO:0006720,GO:0051649,
GO:0048856,GO:0006605,
GO:0032501,GO:0044283,
GO:0007275,GO:0071702,
GO:0006952,GO:0007049,
GO:0010876,GO:0051641,
GO:0010383,GO:0061024,
GO:0070589,GO:0008104,
GO:0044038,GO:0055114,
GO:0030162,GO:0006810,
GO:0000271,GO:1901566,
GO:0033692,GO:0033036,
GO:0043207,GO:0051234,
GO:0051707,GO:0051179,
GO:0009607,GO:0009056,
GO:0098542,GO:1901575,
GO:0010410,GO:0050896,
GO:0051704,GO:0006793,
GO:0098813,GO:0006796,
GO:0042742,GO:0044248,
GO:0009617,GO:0051716,
GO:0032786,GO:0050789,
GO:0032784,GO:0044249,
GO:0000075,GO:0009987,
GO:0000070,GO:0009058,
GO:0006354,GO:1901576,
GO:0007093,GO:0050794,
GO:0032968,GO:0065007,
GO:0006368,GO:0008150,
GO:0000279,GO:0044237,
GO:0098764,GO:0008152,
GO:0098762,GO:0071704,
GO:0051326,GO:1901564,
GO:0007134,GO:0044238,
GO:0007131,GO:0032446,
GO:0044848,GO:0006397,
GO:0007127,GO:0022618,
GO:0035825,GO:0016567,
GO:0022403,GO:0070647,
,GO:0071826,
,GO:0000398,
,GO:0000377,
,GO:0000375,
,GO:0008380,
,GO:0006310,
,GO:0009266,
,GO:0070646,
,GO:0030162,
,GO:0009651,
,GO:1901800,
,GO:0006970,
,GO:0032436,
,GO:1903052,
,GO:1903364,
,GO:0061136,
,GO:0045862,
,GO:0032434,
,GO:2000060,
,GO:1903050,
,GO:1903362,
,GO:2000058,
